image_size,model_type,model_depth,model_size,zero_one_loss,n_epochs
10,dense,1,32,0.07246121297602257,28
10,dense,1,64,0.07911671368124118,22
10,dense,1,96,0.07625176304654444,17
10,dense,1,128,0.0755024682651622,14
10,dense,1,160,0.06924365303244005,11
10,dense,2,32,0.08705042313117066,16
10,dense,2,64,0.08541960507757405,12
10,dense,2,96,0.07202045133991537,9
10,dense,2,128,0.08749118476727785,10
10,dense,2,160,0.07382757404795487,9
10,dense,3,32,0.10278561354019747,16
10,dense,3,64,0.1101904090267983,8
10,dense,3,96,0.07929301833568406,11
10,dense,3,128,0.1190937940761636,7
10,dense,3,160,0.12839386459802538,7
10,conv,1,8,0.3033762341325811,19
10,conv,1,16,0.10736953455571227,20
10,conv,1,24,0.10750176304654444,10
10,conv,1,32,0.06086918194640339,17
10,conv,1,40,0.07065409026798307,10
10,conv,2,8,0.18851375176304655,16
10,conv,2,16,0.11534732016925246,16
10,conv,2,24,0.09251586741889986,8
10,conv,2,32,0.09956805359661496,8
10,conv,2,40,0.10459273624823695,6
10,conv,3,8,0.2082157968970381,21
10,conv,3,16,0.11442172073342737,12
10,conv,3,24,0.08524330042313118,15
10,conv,3,32,0.14448166431593795,7
10,conv,3,40,0.04940937940761636,12
20,dense,1,32,0.5159996473906912,23
20,dense,1,64,0.3126763046544429,28
20,dense,1,96,0.11913787023977433,22
20,dense,1,128,0.09255994358251057,14
20,dense,1,160,0.08608074753173484,12
20,dense,2,32,0.3113540197461213,13
20,dense,2,64,0.0777944287729196,8
20,dense,2,96,0.08572813822284908,11
20,dense,2,128,0.09811354019746121,10
20,dense,2,160,0.13504936530324402,6
20,dense,3,32,0.13209626234132582,16
20,dense,3,64,0.10825105782792666,9
20,dense,3,96,0.12469146685472496,4
20,dense,3,128,0.0939703808180536,8
20,dense,3,160,0.11455394922425952,4
20,conv,1,8,0.795222143864598,28
20,conv,1,16,0.3665814527503526,28
20,conv,1,24,0.09881875881523272,10
20,conv,1,32,0.10595909732016925,7
20,conv,1,40,0.0691114245416079,6
20,conv,2,8,0.117462976022567,17
20,conv,2,16,0.08921015514809591,11
20,conv,2,24,0.1369005641748942,7
20,conv,2,32,0.05011459802538787,12
20,conv,2,40,0.08586036671368125,5
20,conv,3,8,0.23928949224259521,12
20,conv,3,16,0.0807475317348378,11
20,conv,3,24,0.09692348377997179,7
20,conv,3,32,0.1234132581100141,5
20,conv,3,40,0.06382228490832158,7
30,dense,1,32,0.952882581100141,22
30,dense,1,64,0.36803596614950634,26
30,dense,1,96,0.30368476727785615,25
30,dense,1,128,0.13055359661495064,17
30,dense,1,160,0.12588152327221439,12
30,dense,2,32,0.3401798307475317,14
30,dense,2,64,0.1630818053596615,10
30,dense,2,96,0.0814086741889986,8
30,dense,2,128,0.10679654442877291,6
30,dense,2,160,0.11446579689703808,5
30,dense,3,32,0.5461036671368125,17
30,dense,3,64,0.13513751763046544,11
30,dense,3,96,0.12292842031029619,7
30,dense,3,128,0.07902856135401974,13
30,dense,3,160,0.12879055007052187,5
30,conv,1,8,0.17273448519040902,15
30,conv,1,16,0.6816378702397743,18
30,conv,1,24,0.670398448519041,18
30,conv,1,32,0.2666167136812412,21
30,conv,1,40,0.1407351904090268,14
30,conv,2,8,0.21337270803949224,14
30,conv,2,16,0.0951163610719323,9
30,conv,2,24,0.04028561354019746,9
30,conv,2,32,0.06620239774330042,6
30,conv,2,40,0.06664315937940761,8
30,conv,3,8,0.4000793370944993,30
30,conv,3,16,0.12962799717912554,8
30,conv,3,24,0.08193758815232723,7
30,conv,3,32,0.0921632581100141,5
30,conv,3,40,0.05796015514809591,9
40,dense,1,32,0.942216149506347,31
40,dense,1,64,0.8080923836389281,20
40,dense,1,96,0.3034203102961918,27
40,dense,1,128,0.4064703808180536,13
40,dense,1,160,0.2397302538787024,13
40,dense,2,32,0.985543018335684,10
40,dense,2,64,0.26723377997179126,14
40,dense,2,96,0.10961741889985896,9
40,dense,2,128,0.11402503526093088,12
40,dense,2,160,0.17643688293370946,4
40,dense,3,32,0.38055359661495064,10
40,dense,3,64,0.17511459802538787,6
40,dense,3,96,0.10022919605077574,8
40,dense,3,128,0.11539139633286319,5
40,dense,3,160,0.16167136812411848,7
40,conv,1,8,0.443935119887165,12
40,conv,1,16,0.06858251057827927,10
40,conv,1,24,0.985543018335684,7
40,conv,1,32,0.08052715091678421,10
40,conv,1,40,0.14148448519040902,12
40,conv,2,8,0.13178772919605078,13
40,conv,2,16,0.19243653032440056,14
40,conv,2,24,0.12482369534555712,8
40,conv,2,32,0.08052715091678421,5
40,conv,2,40,0.04204866008462623,8
40,conv,3,8,0.1259255994358251,13
40,conv,3,16,0.22139456981664316,13
40,conv,3,24,0.06633462623413258,11
40,conv,3,32,0.0720645275035261,8
40,conv,3,40,0.053023624823695346,5
50,dense,1,32,0.985543018335684,6
50,dense,1,64,0.985543018335684,4
50,dense,1,96,0.5293988011283498,18
50,dense,1,128,0.985543018335684,4
50,dense,1,160,0.5338945698166432,16
50,dense,2,32,0.985543018335684,4
50,dense,2,64,0.9078367418899859,14
50,dense,2,96,0.8936001410437235,13
50,dense,2,128,0.30685825105782794,15
50,dense,2,160,0.15677891396332863,5
50,dense,3,32,0.9019305359661495,14
50,dense,3,64,0.560296191819464,12
50,dense,3,96,0.1606135401974612,7
50,dense,3,128,0.136151269393512,5
50,dense,3,160,0.14959449929478139,4
50,conv,1,8,0.985543018335684,6
50,conv,1,16,0.3909996473906911,13
50,conv,1,24,0.407660437235543,12
50,conv,1,32,0.20808356840620593,17
50,conv,1,40,0.1509608603667137,8
50,conv,2,8,0.3885313822284908,23
50,conv,2,16,0.26714562764456984,15
50,conv,2,24,0.216237658674189,17
50,conv,2,32,0.10556241184767277,6
50,conv,2,40,0.06391043723554302,9
50,conv,3,8,0.4915814527503526,14
50,conv,3,16,0.10115479548660085,6
50,conv,3,24,0.07338681241184768,5
50,conv,3,32,0.07113892806770099,5
50,conv,3,40,0.04531029619181946,6
